,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
27,2966455,Успешно_реализовано,9350.0,2020-03-19 12:57:22,2020-07-10 18:33:00,,,,,,8500.0,Вейксёрф_и_вейк_за_катером,42064,,,,,,,,,,,,,,,,,,,,,,
44,4036001,Успешно_реализовано,4850.0,2020-03-27 12:13:24,2020-07-10 18:26:00,,390,Подарочный_сертификатна_Искусственную_Волну_(Выберите_тип:_1_час_катания_в_группе_для_одного_-_4500_р._)_-_1x4500_=_4500,4850.0,4500.0,4850.0,Искусственная_волна,43220,,,,,,,,,,,,,,,,,,,,,,
93,8122189,Успешно_реализовано,4350.0,2020-06-10 20:27:13,2020-06-15 11:14:00,,,,,,4350.0,САП-сёрф,81826,,,,,,,,,,,,,,,,,,,,,,
95,8142557,Успешно_реализовано,12345.0,2020-06-11 11:52:11,2020-06-12 13:11:00,,,,,,12345.0,Универсальный_Мосвейк_12345,M&F23085,,,,,,,,,,,,,,,,,,,,,,
118,8516711,Успешно_реализовано,3600.0,2020-06-20 16:28:47,2020-07-10 18:04:00,,,,,,3600.0,Вейксёрф_и_вейк_за_катером,01213577,,,,,,,,,,,,,,,,,,,,,,
129,8600581,Успешно_реализовано,8400.0,2020-06-23 12:40:41,2020-07-10 18:04:00,,,,,,,Вейксёрф_и_вейк_за_катером,25579,,,,,,,,,,,,,,,,,,,,,,
319,9540233,Успешно_реализовано,3000.0,2020-07-18 19:33:14,2020-07-18 22:03:00,,,,,,2700,Флайборд_/_Ховерборд_/_Ранец,M94336,,,,,,,,,,,,,,,,,,,,,,
394,9963485,Успешно_реализовано,4000.0,2020-07-31 14:47:26,2020-07-31 16:09:00,,,,,,4000,САП-сёрф,W2SU2476076555,,,,,,,,,,,,,,,,,,,,,,
589,11748177,Успешно_реализовано,4200.0,2020-09-22 22:52:46,2020-09-24 22:36:00,,,,,,4200,Вейк-парк,60PARK97598,,,,,,,Погашен,2020-09-26,,,,,,,,,,,,,,
781,15334621,Успешно_реализовано,16000.0,2021-01-16 11:34:50,2021-01-24 14:21:00,,,,,,16000,Снегоходы,79934,,,,,,,,,,,,,,,,,,,,,,
784,15350229,Успешно_реализовано,8000.0,2021-01-17 13:10:49,2021-01-17 20:02:00,,,,,,8000,Снегоходы,98173,,,,,,,,,,,,,,,,,,,,,,
824,15781389,Успешно_реализовано,4290.0,2021-02-03 12:26:25,2021-02-08 22:12:00,290.0,,Подарочный_сертификат_на_квадроциклы_(Выберите_вариант_сертификата:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4290.0,4000.0,4290,Квадроциклы,KVP1102024295,,,,,,,Погашен,2022-03-01,,,,,,,,,,,,,,
963,16313257,Успешно_реализовано,10000.0,2021-02-23 12:40:20,2021-02-23 12:58:00,0.0,,Подарочный_сертификатна_пилотаж_на_спортивном_самолёте_Zlin_142_(Выберите_вариант_сертификата:_30_минут_пилотажа_(1_чел)_)_-_1x10000_=_10000,10000.0,10000.0,10000,Авиа_Самолёты,VFMP30365043415,,,,,,,,,,,,,,,,,,,,,,
1034,16712559,Успешно_реализовано,242900.0,2021-03-12 14:18:19,2021-03-12 15:51:00,,,,,,242900,,90855,,,,,,,,,,,,,,,,,,,,,,
1049,16808755,Успешно_реализовано,11500.0,2021-03-16 16:32:03,2021-03-16 17:09:00,0.0,,Подарочный_сертификатна_прогулку_на_самолёте_Cessna_172_(Выберите_тип:_45_минут_полёта_(до_3_чел.)_)_-_1x11500_=_11500,11500.0,11500.0,11500,Авиа_Самолёты,VFMCS45425046055,,,,,,,,,,,,,,,,,,,,,,
1118,17354135,Успешно_реализовано,7400.0,2021-04-08 10:30:27,2021-04-08 21:55:00,400.0,,Подарочный_сертификатна_Ховерборд_(Выберите_тип:_20_минут_)_-_2x3500_=_7000,7400.0,7000.0,7400,Флайборд_/_Ховерборд_/_Ранец,H42255,,HB20305,,,,,,,,,,,,,,,,,,,,
1227,17947779,Успешно_реализовано,6000.0,2021-04-29 14:25:13,2021-05-06 11:52:00,0.0,,"Подарочный_сертификатна_Электробайк_(Выберите_тип:_1,5_ч_катания_для_2_человек_-_6000_р_)_-_1x6000_=_6000",6000.0,6000.0,6000,Мото_Электробайк,12931,,,,,,,,,,,,,,,,,,,,,,
1357,18581471,Успешно_реализовано,1600.0,2021-05-28 19:00:37,2021-05-28 19:16:00,0.0,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_1_час_для_двоих_)_-_1x1600_=_1600,1600.0,1600.0,1600,САП-сёрф,79532,,,,,,,,,,,,,,,,,,,,,,
1389,18637653,Успешно_реализовано,4400.0,2021-06-01 11:11:08,2021-06-06 22:31:00,400.0,350,Подарочный_сертификатна_Квадроциклы_(Выберите_тип:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4400.0,4000.0,4400,Квадроциклы,KV1P1X102044120,,,,,,,Погашен,2022-01-20,,,,,,,,,,,,,,
1496,18859675,Успешно_реализовано,4000.0,2021-06-11 16:25:28,2021-06-11 16:51:00,,,Подарочный_сертификатна_сап-сёрфинг_(Выберите_тип:_Целый_день_на_двоих_-_4000_руб._)_-_1x4000_=_4000,4000.0,,4000,САП-сёрф,62127,,,,,,,,,,,,,,,,,,,,,,
1541,18978659,Успешно_реализовано,8200.0,2021-06-17 20:54:36,2021-06-27 11:50:00,290.0,480,Подарочный_сертификатна_вейк_за_катером_(Выберите_тип:_30_минут_-_3_900_руб._)_-_2x3900_=_7800,8090.0,7800.0,8200,Вейксёрф_и_вейк_за_катером,66064,,,,,,,,,,,,,,,,,,,,,,
1752,19199281,Успешно_реализовано,4000.0,2021-07-05 19:28:04,2021-07-06 16:02:00,0.0,,Подарочный_сертификатна_Квадроциклы_(Выберите_тип:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4000.0,4000.0,4000,Квадроциклы,KV1P1X102099687459,,,,,,,,,,,,,,,,,,,,,,
1785,19237733,Успешно_реализовано,4400.0,2021-07-08 13:24:09,2021-07-09 00:58:00,400.0,527,Подарочный_сертификат_на_квадроциклы_(Выберите_вариант_сертификата:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4400.0,4000.0,4400,Квадроциклы,KV1P1X102167289,,,,,,,,,,,,,,,,,,,,,,
1882,19333746,Успешно_реализовано,7500.0,2021-07-15 16:02:04,2021-07-20 15:58:00,0.0,,Подарочный_сертификатна_прогулку_на_самолёте_Cessna_172_(Выберите_тип:_30_минут_полёта_(до_3_чел.)_)_-_1x7500_=_7500,7500.0,7500.0,,Авиа_Самолёты,36528,,,,,,,,,,,,,,,,,,,,,,
2356,19864137,Успешно_реализовано,12000.0,2021-09-17 13:59:03,2021-09-17 15:09:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_60_минут_полёта_)_-_1x12000_=_12000,12000.0,12000.0,12000,Авиа_Самолёты,VFMCS45037727,,,,,,,,,,,,,,,,,,,,,,
2419,20301050,Успешно_реализовано,3000.0,2021-11-07 10:52:02,2021-11-07 11:50:00,0.0,,"Подарочный_сертификатна_Электробайк_(Выберите_тип:_1,5_ч_катания_для_1_человека_-_3000_р_)_-_1x3000_=_3000",3000.0,3000.0,3000,Мото_Электробайк,32580,,,,,,,,,,,,,,,,,,,,,,
2872,21140213,Успешно_реализовано,4500.0,2022-02-16 14:59:06,2022-02-16 16:01:00,0.0,,Подарочный_сертификат_на_Флайборд_(Выберите_тип:_30_минут_)_-_1x4500_=_4500,4500.0,4500.0,4500,Флайборд_/_Ховерборд_/_Ранец,98915,,,,,,,,,,,,,,,,,,,,,,
3014,21311499,Успешно_реализовано,3500.0,2022-03-02 16:15:37,2022-03-04 21:23:00,0.0,,Подарочный_сертификатна_ховерборд_(Выберите_тип:_20_минут_-_3_500_руб._)_-_1x3500_=_3500,3500.0,3500.0,3500,Флайборд_/_Ховерборд_/_Ранец,H54470,,,,,,,,,,,,,,,,,,,,,,
3859,22078429,Успешно_реализовано,4000.0,2022-06-28 11:49:00,2022-06-28 20:02:00,400.0,,Подарочный_сертификат_в_Вейк-парк_(Выберите_тип:_Пакет_старт_на_одного_)_-_1x2000_=_2000,2400.0,2000.0,4000,Вейк-парк,WP19045770,,SU60190183,,,,,Погашен,2022-07-10,,,,,,,,,,,,,,
5592,24084549,Успешно_реализовано,5700.0,2023-04-15 21:38:45,2023-05-01 16:47:00,500.0,,"катание_на_картинге_(Варианты:_40_минут_катания,_Бумажный_или_электронный:_Бумажный)_-_1x5200_=_5200",5700.0,5200.0,5700,Картинг,52950,,,,,,,,,4400,,,,,,,,,,,,,
8245,26872373,Успешно_реализовано,0.0,2024-02-15 21:33:58,2024-02-16 10:33:00,,,,,,,,19652,,,,,,,,,,,,,,,,,,,,,,
2,929417,Успешно_реализовано,3040.0,2020-03-04 12:51:10,2020-07-10 18:34:00,,,,,,,,GRT_116593,,,,,,,,,,,GRT,116593,GRT,paper,design1,,2750.0,,,,,
6,1058967,Успешно_реализовано,2750.0,2020-03-05 10:42:16,2020-03-08 05:05:00,,,Подарочный_сертификат_в_крытый_Вейк-парк_(Выберите_тип:_1_сеанс_тренировки_на_одного_2750_р._)_-_1x2750_=_2750,2750.0,2750.0,,,GRT_232948,,,,,,,,,,,GRT,232948,GRT,paper,design1,,2750.0,,,,,
18,2043485,Успешно_реализовано,8000.0,2020-03-12 16:42:41,2020-03-12 16:45:00,,,,,,8000.0,Квадроциклы,KVP1X2_???96384,,,,,,,,,,,KVP1X2,???96384,KVP1X2,paper,design1,,0.0,,,,,
131,8618645,Успешно_реализовано,9600.0,2020-06-23 15:37:48,2020-07-10 18:03:00,,,,,,9600.0,Вейксёрф_и_вейк_за_катером,60WAKE_SERF_61996,,,,,,,,,,,60WAKE,SERF,60WAKE,paper,design1,,7500.0,,,,,
132,8633971,Успешно_реализовано,5350.0,2020-06-23 16:04:00,2020-07-10 18:03:00,,,,,,5350.0,Вейк-парк,WP24_46355,,,,,,,Погашен,2022-08-04,,,WP24,46355,WP24,paper,design1,sold_used,0.0,,,,,2022-08-04
152,8759963,Успешно_реализовано,14750.0,2020-06-27 11:30:02,2020-07-10 18:03:00,,350,,,,14750.0,Вейксёрф_и_вейк_за_катером,60WAKE_SERF_95529,,60WAKE_SERF_201,,,,,,,,,60WAKE,SERF,60WAKE,paper,design1,,7500.0,,,,,
240,9177487,Успешно_реализовано,7900.0,2020-07-09 12:40:55,2020-07-10 18:35:00,,,,,,7900,Вейксёрф_и_вейк_за_катером,60WAKE_SURF_73635,,,,,,,,,,,60WAKE,SURF,60WAKE,paper,design1,,7500.0,,,,,
242,9185267,Успешно_реализовано,7500.0,2020-07-09 14:11:51,2020-07-10 18:00:00,,,,,,7500,Вейксёрф_и_вейк_за_катером,60WAKE_SERF_68501,,,,,,,,,,,60WAKE,SERF,60WAKE,paper,design1,,7500.0,,,,,
287,9394601,Успешно_реализовано,7850.0,2020-07-14 18:45:28,2020-07-16 20:28:00,,,Подарочный_сертификатна_Вейкборд_за_катером_(Выберите_тип:_1_час_)_-_1x7500_=_7500,7850.0,7500.0,7850,Вейксёрф_и_вейк_за_катером,60WAKE_SERF_33160,,,,,,,Погашен,2020-08-09,,,60WAKE,SERF,60WAKE,paper,design1,sold_used,7500.0,,,,,2020-08-09
796,15499835,Успешно_реализовано,12000.0,2021-01-20 14:37:07,2021-01-23 07:40:00,,,,,,12000,Аэротруба,AT_1007189075,,PH027,,,,,,,,,AT,1007189075,AT,paper,design1,,0.0,,,,,
968,16326757,Успешно_реализовано,12345.0,2021-02-23 23:31:11,2021-02-24 09:49:00,0.0,,Подарочный_сертификатна_Квадроциклы_(Выберите_тип:_Депозит_на_любые_услуги_проката_-_12345р_)_-_1x12345_=_12345,12345.0,12345.0,12345,Квадроциклы,KVC_371043246,,,,,,,Погашен,2022-01-18,,,KVC,371043246,KVC,paper,design1,sold_used,12345.0,,,,,2022-01-18
3430,21880731,Успешно_реализовано,4850.0,2022-05-26 17:37:39,2022-06-01 13:56:00,350.0,,Подарочный_сертификатна_флайборд_(Выберите_тип:_30_минут_-_4_500_руб._)_-_1x4500_=_4500,4850.0,4500.0,4850,Флайборд_/_Ховерборд_/_Ранец,MF30134139_60892,,,,,,,Погашен,2023-07-05,,,MF30134139,60892,MF30134139,paper,design1,sold_used,4500.0,,,,,2023-07-05
6546,24742863,Успешно_реализовано,6800.0,2023-07-06 17:10:17,2023-07-10 16:00:00,0.0,,"Подарочный_сертификатна_вейк_за_катером_(Выберите_тип:_30_минут_Mastercraft_-_5_300_руб._,_Тренер:_30_минут_с_тренером)_-_1x6800_=_6800",6800.0,6800.0,6800,Вейксёрф_и_вейк_за_катером,WS30T_06057345,,,,,,,,,,,WS30T,06057345,WS30T,paper,design1,,6800.0,,,,,
6622,24790553,Успешно_реализовано,0.0,2023-07-11 21:16:07,2023-07-14 10:52:00,,,,,,0,Флайборд_/_Ховерборд_/_Ранец,MF_2521379,#24790463,,,,,,,,5525,,MF,2521379,MF,paper,design1,,0.0,,,,,
8274,26907811,Успешно_реализовано,7950.0,2024-02-20 11:48:33,2024-02-23 16:32:00,450.0,,"Джип-тур_(Варианты:_Веселая_просека._2,5_часа._Бронницы,_Бумажный_или_электронный:_Бумажный)_-_1x7500_=_7500",7950.0,7500.0,7950,Авто_Джип-тур,JT2_700431016,,,,,,,,,6000,,JT2,700431016,JT2,paper,design1,,7500.0,,,,,
8385,8759963,,,2020-06-27 11:30:02,2020-07-10 18:03:00,,,,,0.0,,,60WAKE_SERF_201,,,,,,,,,,,60WAKE,SERF,60WAKE,paper,design1,,7500.0,,,,,
